County Name,FRED ID
"Pickens County, GA",27839
"Pierce County, GA",27840
"Pike County, GA",27841
"Polk County, GA",27842
"Pulaski County, GA",27843
"Putnam County, GA",27844
"Quitman County, GA",27845
"Rabun County, GA",27846
"Randolph County, GA",27847
"Richmond County, GA",27848
"Rockdale County, GA",27849
"Schley County, GA",27850
"Screven County, GA",27851
"Seminole County, GA",27852
"Spalding County, GA",27853
"Stephens County, GA",27854
"Stewart County, GA",27855
"Sumter County, GA",27856
"Talbot County, GA",27857
"Taliaferro County, GA",27858
"Tattnall County, GA",27859
"Taylor County, GA",27860
"Telfair County, GA",27861
"Terrell County, GA",27862
"Thomas County, GA",27863
"Tift County, GA",27864
"Toombs County, GA",27865
"Towns County, GA",27866
"Treutlen County, GA",27867
"Troup County, GA",27868
"Turner County, GA",27869
"Twiggs County, GA",27870
"Union County, GA",27871
"Upson County, GA",27872
"Walker County, GA",27873
"Walton County, GA",27874
"Ware County, GA",27875
"Warren County, GA",27876
"Washington County, GA",27877
"Wayne County, GA",27878
"Webster County, GA",27879
"Wheeler County, GA",27880
"White County, GA",27881
"Whitfield County, GA",27882
"Wilcox County, GA",27883
"Wilkes County, GA",27884
"Wilkinson County, GA",27885
"Worth County, GA",27886
"Hawaii County, HI",27888
"Honolulu County/city, HI",27889
"Kalawao County, HI",27890
"Kauai County, HI",27891
"Maui County, HI",27892
"Maui + Kalawao Counties, HI",33804
"Ada County, ID",27894
"Adams County, ID",27895
"Bannock County, ID",27896
"Bear Lake County, ID",27897
"Benewah County, ID",27898
"Bingham County, ID",27899
"Blaine County, ID",27900
"Boise County, ID",27901
"Bonner County, ID",27902
"Bonneville County, ID",27903
"Boundary County, ID",27904
"Butte County, ID",27905
"Camas County, ID",27906
"Canyon County, ID",27907
"Caribou County, ID",27908
"Cassia County, ID",27909
"Clark County, ID",27910
"Clearwater County, ID",27911
"Custer County, ID",27912
"Elmore County, ID",27913
"Franklin County, ID",27914
"Fremont County, ID",27915
"Gem County, ID",27916
"Gooding County, ID",27917
"Idaho County, ID",27918
"Jefferson County, ID",27919
"Jerome County, ID",27920
"Kootenai County, ID",27921
"Latah County, ID",27922
"Lemhi County, ID",27923
"Lewis County, ID",27924
"Lincoln County, ID",27925
"Madison County, ID",27926
"Minidoka County, ID",27927
"Nez Perce County, ID",27928
"Oneida County, ID",27929
"Owyhee County, ID",27930
"Payette County, ID",27931
"Power County, ID",27932
"Shoshone County, ID",27933
"Teton County, ID",27934
"Twin Falls County, ID",27935
"Valley County, ID",27936
"Washington County, ID",27937
"Adams County, IL",478
"Alexander County, IL",477
"Bond County, IL",482
"Boone County, IL",27942
"Brown County, IL",473
"Bureau County, IL",27944
"Calhoun County, IL",471
"Carroll County, IL",27946
"Cass County, IL",27947
"Champaign County, IL",27948
"Christian County, IL",27949
"Clark County, IL",27950
"Clay County, IL",469
"Clinton County, IL",467
"Coles County, IL",27953
"Cook County, IL",27954
"Crawford County, IL",465
"Cumberland County, IL",27956
"De Kalb County, IL",27957
"De Witt County, IL",27958
"Douglas County, IL",27959
"Du Page County, IL",27960
"Edgar County, IL",27961
"Edwards County, IL",463
"Effingham County, IL",461
"Fayette County, IL",459
"Ford County, IL",27965
"Franklin County, IL",457
"Fulton County, IL",27967
"Gallatin County, IL",454
"Greene County, IL",452
"Grundy County, IL",27970
"Hamilton County, IL",450
"Hancock County, IL",27972
"Hardin County, IL",448
"Henderson County, IL",27974
"Henry County, IL",27975
"Iroquois County, IL",27976
"Jackson County, IL",447
"Jasper County, IL",445
"Jefferson County, IL",443
"Jersey County, IL",441
"Jo Daviess County, IL",27981
"Johnson County, IL",439
"Kane County, IL",27983
"Kankakee County, IL",27984
"Kendall County, IL",27985
"Knox County, IL",27986
"Lake County, IL",27987
"La Salle County, IL",27988
"Lawrence County, IL",437
"Lee County, IL",27990
"Livingston County, IL",27991
"Logan County, IL",27992
"Macon County, IL",27993
"Macoupin County, IL",433
"Madison County, IL",431
"Marion County, IL",429
"Marshall County, IL",27997
"Mason County, IL",27998
"Massac County, IL",427
"McDonough County, IL",28000
"McHenry County, IL",28001
"McLean County, IL",28002
"Menard County, IL",28003
"Mercer County, IL",28004
"Monroe County, IL",425
"Montgomery County, IL",423
"Morgan County, IL",421
"Moultrie County, IL",28008
"Ogle County, IL",28009
"Peoria County, IL",28010
"Perry County, IL",419
"Piatt County, IL",28012
"Pike County, IL",417
"Pope County, IL",415
"Pulaski County, IL",413
"Putnam County, IL",28016
"Randolph County, IL",411
"Richland County, IL",409
"Rock Island County, IL",28019
"Saline County, IL",407
"Sangamon County, IL",28021
"Schuyler County, IL",28022
"Scott County, IL",405
"Shelby County, IL",28024
"Stark County, IL",28025
"St. Clair County, IL",403
"Stephenson County, IL",28027
"Tazewell County, IL",28028
"Union County, IL",401
"Vermilion County, IL",28030
"Wabash County, IL",399
"Warren County, IL",28032
"Washington County, IL",397
"Wayne County, IL",395
"White County, IL",480
"Whiteside County, IL",28036
"Will County, IL",28037
"Williamson County, IL",392
"Winnebago County, IL",28039
"Woodford County, IL",28040
"Adams County, IN",28042
"Allen County, IN",28043
"Bartholomew County, IN",28044
"Benton County, IN",28045
"Blackford County, IN",28046
"Boone County, IN",28047
"Brown County, IN",28048
"Carroll County, IN",28049
"Cass County, IN",28050
"Clark County, IN",536
"Clay County, IN",28052
"Clinton County, IN",28053
"Crawford County, IN",534
"Daviess County, IN",532
"Dearborn County, IN",28056
"Decatur County, IN",28057
"De Kalb County, IN",28058
"Delaware County, IN",28059
"Dubois County, IN",530
"Elkhart County, IN",28061
"Fayette County, IN",28062
"Floyd County, IN",528
"Fountain County, IN",28064
"Franklin County, IN",28065
"Fulton County, IN",28066
"Gibson County, IN",526
"Grant County, IN",28068
"Greene County, IN",523
"Hamilton County, IN",28070
"Hancock County, IN",28071
"Harrison County, IN",522
"Hendricks County, IN",28073
"Henry County, IN",28074
"Howard County, IN",28075
"Huntington County, IN",28076
"Jackson County, IN",520
"Jasper County, IN",28078
"Jay County, IN",28079
"Jefferson County, IN",516
"Jennings County, IN",28081
"Johnson County, IN",28082
"Knox County, IN",514
"Kosciusko County, IN",28084
"Lagrange County, IN",28085
"Lake County, IN",28086
"La Porte County, IN",28087
"Lawrence County, IN",512
"Madison County, IN",28089
"Marion County, IN",28090
"Marshall County, IN",28091
"Martin County, IN",510
"Miami County, IN",28093
"Monroe County, IN",28094
"Montgomery County, IN",28095
"Morgan County, IN",28096
"Newton County, IN",28097
"Noble County, IN",28098
"Ohio County, IN",28099
"Orange County, IN",508
"Owen County, IN",28101
"Parke County, IN",28102
"Perry County, IN",506
"Pike County, IN",504
"Porter County, IN",28105
"Posey County, IN",502
"Pulaski County, IN",28107
"Putnam County, IN",28108
"Randolph County, IN",28109
"Ripley County, IN",28110
"Rush County, IN",28111
"Scott County, IN",500
"Shelby County, IN",28113
"Spencer County, IN",498
"Starke County, IN",28115
"Steuben County, IN",28116
"St. Joseph County, IN",28117
"Sullivan County, IN",496
"Switzerland County, IN",494
"Tippecanoe County, IN",28120
"Tipton County, IN",28121
"Union County, IN",28122
"Vanderburgh County, IN",492
"Vermillion County, IN",28124
"Vigo County, IN",28125
"Wabash County, IN",28126
"Warren County, IN",28127
"Warrick County, IN",489
"Washington County, IN",486
"Wayne County, IN",28130
"Wells County, IN",28131
"White County, IN",28132
"Whitley County, IN",28133
"Adair County, IA",28135
"Adams County, IA",28136
"Allamakee County, IA",28137
"Appanoose County, IA",28138
"Audubon County, IA",28139
"Benton County, IA",28140
"Black Hawk County, IA",28141
"Boone County, IA",28142
"Bremer County, IA",28143
"Buchanan County, IA",28144
"Buena Vista County, IA",28145
"Butler County, IA",28146
"Calhoun County, IA",28147
"Carroll County, IA",28148
"Cass County, IA",28149
"Cedar County, IA",28150
"Cerro Gordo County, IA",28151
"Cherokee County, IA",28152
"Chickasaw County, IA",28153
"Clarke County, IA",28154
"Clay County, IA",28155
"Clayton County, IA",28156
"Clinton County, IA",28157
"Crawford County, IA",28158
"Dallas County, IA",28159
"Davis County, IA",28160
"Decatur County, IA",28161
"Delaware County, IA",28162
"Des Moines County, IA",28163
"Dickinson County, IA",28164
"Dubuque County, IA",28165
"Emmet County, IA",28166
"Fayette County, IA",28167
"Floyd County, IA",28168
"Franklin County, IA",28169
"Fremont County, IA",28170
"Greene County, IA",28171
"Grundy County, IA",28172
"Guthrie County, IA",28173
"Hamilton County, IA",28174
"Hancock County, IA",28175
"Hardin County, IA",28176
"Harrison County, IA",28177
"Henry County, IA",28178
"Howard County, IA",28179
"Humboldt County, IA",28180
"Ida County, IA",28181
"Iowa County, IA",28182
"Jackson County, IA",28183
"Jasper County, IA",28184
"Jefferson County, IA",28185
"Johnson County, IA",28186
"Jones County, IA",28187
